n,match_time,verify_time
1,1.3199998647905886e-06,1.1000025551766158e-06
2,9.400013368576765e-07,1.0000003385357559e-06
4,2.0000021322630347e-06,2.0800027414225044e-06
8,2.8399997972883282e-06,3.779999678954482e-06
16,8.86000198079273e-06,1.2779996905010193e-05
32,2.8259998362045736e-05,4.7519998042844235e-05
64,0.00012790000037057325,0.0002460800009430386
128,0.0004743800003780052,0.0009289000008720905
256,0.0021017599996412174,0.004464819998247549
512,0.017288080000435004,0.027102200000081213
